date,SPX
20230223,400.66
20230222,398.54
20230221,399.09
20230217,407.26
20230216,408.28
20230215,413.98
20230214,412.64
20230213,412.83
20230210,408.04
20230209,407.09
20230208,410.65
20230207,415.19
20230206,409.83
20230203,412.35
20230202,416.78
20230201,410.8
20230131,406.48
20230130,400.59
20230127,405.68
20230126,404.75
20230125,400.35
20230124,400.2
20230123,400.63
20230120,395.88
20230119,388.64
20230118,391.49
20230117,397.77
20230113,398.5
20230112,396.96
20230111,395.52
20230110,390.58
20230109,387.86
20230106,388.08
20230105,379.38
20230104,383.76
20230103,380.82
20221230,382.43
20221229,383.44
20221228,376.66
20221227,381.4
20221223,382.91
20221222,380.72
20221221,386.23
20221220,380.54
20221219,380.02
20221216,383.27
20221215,387.827417586327
20221214,397.552217703922
20221213,400.110327867916
20221212,397.104299581822
20221209,391.460531243361
20221208,394.406837113175
20221207,391.341086410801
20221206,392.007986725928
20221205,397.741338688809
20221202,405.02747347497
20221201,405.495299069163
20221130,405.793911150563
20221129,393.401509772462
20221128,394.078363823635
20221125,400.468662365596
20221123,400.558245990016
20221122,398.049904506255
20221121,392.764470665475
20221118,394.197808656195
20221117,392.416089903841
20221116,393.620491965488
20221115,396.646427723675
20221114,393.292018675948
20221111,396.666335195769
20221110,392.864008025941
20221109,372.399126713992
20221108,380.23271698272
20221107,378.192201093153
20221104,374.608856116352
20221103,369.293561067431
20221102,373.135703181445
20221101,382.74105846648
20221031,384.423239858367
20221028,387.220239687481
20221027,378.222062301293
20221026,380.252624454813
20221025,383.139207908347
20221024,377.117197600113
20221021,372.558386490739
20221020,363.719468881297
20221019,366.795173319718
20221018,369.413005899992
20221017,365.122945663878
20221014,355.97546223699
20221013,364.276878099911
20221012,354.910412479996
20221011,356.084953333503
20221010,358.354405152143
20221007,361.11159003707
20221006,371.473429261652
20221005,375.345432583806
20221004,376.221361355913
20221003,364.913917206898
20220930,355.52754411489
20220929,361.11159003707
20220928,368.815781737191
20220927,361.698860463824
20220926,362.624557916164
20220923,366.247717837151
20220922,372.488710338412
20220921,375.644044665206
20220920,382.313047816473
20220919,386.752414093287
20220916,383.776247015334
20220915,386.713974659982
20220914,391.154861070514
20220913,389.667957138416
20220912,407.381939316141
20220909,403.050092527296
20220908,396.884397555531
20220907,394.307097406561
20220906,387.348387004344
20220902,388.81546555068
20220901,392.958971174793
20220831,391.729797257592
20220830,394.733343200429
20220829,399.114753453677
20220826,401.771355145692
20220825,415.847379036217
20220824,410.058366393917
20220823,408.749890933671
20220822,409.741160221736
20220819,418.454417263829
20220818,424.154215670203
20220817,422.925041753002
20220816,425.948413081601
