date,open,close,low,high,volume
1999-11-01,136.5,88.2171850797597,135.5625,137.0,4006500.0
1999-11-02,135.968704,87.5867418817033,134.593704,137.25,6516900.0
1999-11-03,136.0,88.176513256302,135.125,136.375,7222300.0
1999-11-04,136.75,88.8475684088921,135.765594,137.359299,7907500.0
1999-11-05,138.625,89.7220425476948,136.781204,139.109299,7431500.0
1999-11-08,137.0,89.8033861946102,136.75,138.375,4649200.0
1999-11-09,138.5,88.9594256846384,136.281204,138.6875,4533700.0
1999-11-10,136.25,89.6203330545885,136.078094,138.390594,6405600.0
1999-11-11,138.1875,90.1287607822718,137.468704,138.5,4794100.0
1999-11-12,139.25,90.9421972514259,137.125,139.984299,11802900.0
1999-11-15,139.843704,91.1557041513544,139.406204,140.25,2187500.0
1999-11-16,140.5625,91.9183210144108,140.093704,143.0,7544800.0
1999-11-17,142.25,92.162351955157,141.3125,142.9375,9459000.0
1999-11-18,142.4375,92.8131011304803,141.625,143.0,4491000.0
1999-11-19,142.406204,92.7317574835649,142.0,142.968704,4832100.0
1999-11-22,142.4375,92.711391637374,141.5,143.0,4155400.0
1999-11-23,142.843704,91.8979551682199,140.375,142.843704,5918000.0
1999-11-24,140.75,92.3860170497123,140.0,142.4375,4459700.0
1999-11-26,142.468704,92.0403364847839,141.25,142.875,1693900.0
1999-11-29,140.875,91.7149618971223,140.4375,141.921799,7348600.0
1999-11-30,140.75,90.6371286410311,139.0,142.3125,7682000.0
1999-12-01,139.3125,91.3692214632697,139.0,140.5,6980200.0
1999-12-02,140.625,91.9183210144108,140.375,141.375,6698300.0
1999-12-03,143.031204,93.6061717534434,143.031204,145.343704,10045400.0
1999-12-06,143.531204,92.9147507546625,142.25,143.718704,3138900.0
1999-12-07,143.281204,92.162351955157,141.375,143.3125,10714200.0
1999-12-08,141.343704,91.5725805805583,140.5,142.0625,4611400.0
1999-12-09,141.8125,92.019970638593,139.375,142.218704,6474700.0
1999-12-10,142.281204,92.3250392489878,140.875,142.8125,5127300.0
1999-12-13,141.4375,92.4877265428186,141.281204,142.718704,4210800.0
1999-12-14,141.625,91.5929464267492,140.625,142.484299,5739000.0
1999-12-15,140.375,92.0810083082416,140.031204,142.203094,6879100.0
1999-12-16,142.1875,92.4877265428186,141.156204,142.656204,5854900.0
1999-12-17,143.0,93.0799421313199,142.0625,143.3125,4775400.0
1999-12-20,142.5625,92.4071924370562,141.093704,143.1875,4608700.0
1999-12-21,141.593704,93.8138181533803,141.343704,144.0625,7981300.0
1999-12-22,143.625,94.0584434940671,142.968704,144.1875,5377500.0
1999-12-23,145.015594,95.5567241283712,145.0,146.484299,5721700.0
1999-12-27,146.5,95.4242383055265,145.0625,146.781204,2691000.0
1999-12-28,145.875,95.3631119777299,145.484299,146.5,4084500.0
1999-12-29,146.3125,95.7708208788745,145.3125,146.8125,3001000.0
1999-12-30,147.125,95.6586807086983,146.1875,147.5625,3641300.0
1999-12-31,146.843704,95.811591768989,146.25,147.5,3172700.0
2000-01-03,148.25,94.8738612963563,143.875,148.25,8164300.0
2000-01-04,143.531204,91.1637102959402,139.640594,144.0625,8089800.0
2000-01-05,139.9375,91.326793856398,137.25,141.531204,12177900.0
2000-01-06,139.625,89.8590418122773,137.75,141.5,6227200.0
2000-01-07,140.3125,95.0777157469286,140.0625,145.75,8066500.0
2000-01-10,146.25,95.4038828678444,145.031204,146.906204,5741700.0
2000-01-11,145.8125,94.2622979446394,143.5,146.093704,7503700.0
2000-01-12,144.593704,93.3245674720067,142.875,144.593704,6907700.0
2000-01-13,144.468704,94.5884650655551,143.281204,145.75,5158300.0
2000-01-14,146.531204,95.8727180967856,145.968704,147.468704,7437300.0
2000-01-18,145.343704,95.1184866370431,145.1875,146.625,6488500.0
2000-01-19,145.3125,95.8931335492179,145.0,147.0,6157900.0
2000-01-20,146.968704,94.4253815050972,143.8125,146.968704,5800100.0
2000-01-21,145.5,94.2215270545249,144.0625,145.5,6244800.0
2000-01-24,145.656204,91.5510037446524,139.406204,145.843704,7896900.0
2000-01-25,140.515594,92.5906914499464,139.0,141.9375,9942500.0
2000-01-26,141.0,91.856815427886,140.093704,141.546799,5158100.0
2000-01-27,141.843704,91.4898774168559,138.125,142.218704,10922700.0
2000-01-28,139.4375,88.6359151088434,135.531204,140.0625,11916200.0
2000-01-31,135.8125,91.0413976255968,135.0,139.671799,10768700.0
2000-02-01,139.75,91.938357208115,138.531204,141.6875,8419900.0
2000-02-02,141.281204,92.0198989883439,140.375,142.25,6205900.0
2000-02-03,140.875,93.4061092522357,140.0,143.25,7997500.0
2000-02-04,143.1875,93.0187557887731,142.125,144.0,4925400.0
2000-02-07,142.5625,92.8760876807476,141.4375,142.781204,5845800.0
