0,1,2,3,4,5,6
9.314132920490436e-10,1.781295392581288e-11,1.5960905173917351e-10,2.8486701975083404e-09,6.976428820748559e-10,2.3455871323019297e-09,1.7937641672016724e-09
1.2767681107240387e-11,1.2941772298789844e-10,4.259401741729674e-10,6.319273317956231e-09,1.2239047078241305e-09,3.7634694849408844e-09,2.7698634630368703e-09
2.0371895081972014e-09,3.4466144048159177e-10,9.104030325966794e-10,1.2904644695055367e-08,2.25717676830689e-09,6.19743914409554e-09,4.236912896082856e-09
6.162005514731561e-09,7.56814612125345e-10,1.7926987810413033e-09,2.5162100634190666e-08,4.182126377427764e-09,1.0327881092564439e-08,6.480659044960646e-09
1.463702990811555e-08,1.5478292938325699e-09,3.396426382640261e-09,4.794843970756801e-08,7.696310127397465e-09,1.7235046714247913e-08,9.958091151673898e-09
3.2466522892349305e-08,3.0869635954389184e-09,6.3594256074529785e-09,9.063047734514385e-08,1.410826275527466e-08,2.8544211883030357e-08,1.5346598281062995e-08
7.082194308338785e-08,6.074780521947432e-09,1.2074090606772892e-08,1.7128860690718284e-07,2.609664655317534e-08,4.655753023996567e-08,2.3570065346145698e-08
1.5434581356998934e-07,1.1956958706482723e-08,2.3138621052520848e-08,3.2542190979256704e-07,4.79207024994821e-08,7.425042820585759e-08,3.5708297083658635e-08
3.3693116222366373e-07,2.339439919119002e-08,4.4801996643695216e-08,6.228564171806284e-07,8.649188417753085e-08,1.1485464675331514e-07,5.262351310264535e-08
7.344605006665006e-07,4.575878975732195e-08,8.823548441228014e-08,1.20132912002191e-06,1.53451844999708e-07,1.7048885055714892e-07,7.39355236301087e-08
1.592530679772608e-06,8.916744481446415e-08,1.749730769295965e-07,2.3319589104175975e-06,2.6942394256046496e-07,2.38927522815402e-07,9.566003865701944e-08
3.4234912527608685e-06,1.7494233581771823e-07,3.468436553522025e-07,4.5477515186576055e-06,4.746822690915309e-07,3.0666188507666445e-07,1.0677657683366703e-07
7.281676366801548e-06,3.4246128862491785e-07,6.866952501161094e-07,8.888337360986042e-06,8.17802788191102e-07,3.360139289299013e-07,7.882539019732349e-08
1.5301989778890858e-05,6.608683352737899e-07,1.3809597707314936e-06,1.737204247547197e-05,1.3859650221803576e-06,3.4902450209983724e-07,7.407708259798972e-08
3.172958045979612e-05,1.2766159015598078e-06,2.750109730484951e-06,3.384541694686049e-05,2.3043818649881586e-06,3.266216043584791e-07,4.70320927092871e-07
6.486500711616827e-05,2.474030163455154e-06,5.422103429282288e-06,6.555933548952453e-05,3.73629339989634e-06,1.11682139490199e-06,1.3857843100595345e-06
0.00013061160119832494,4.7879305896003645e-06,1.0509645024399106e-05,0.00012595179214258678,5.856776796804297e-06,3.164969557474251e-06,3.307856220544636e-06
0.0002586262536351569,9.253885117459504e-06,2.0169422482467782e-05,0.00023916580015793444,8.79690095132446e-06,6.995497137722851e-06,7.085169454512652e-06
0.0005029238120187074,1.7685801626612374e-05,3.798007247496571e-05,0.0004477535904152319,1.2442483842960428e-05,1.3458199568958661e-05,1.4123372711765114e-05
0.0009582843416137621,3.3668596938696285e-05,6.992072158482188e-05,0.0008235918544232845,1.6076823681032692e-05,2.336340261535952e-05,2.663299688265397e-05
0.0017850358481518924,6.204907960636774e-05,0.00012752674693274456,0.001483125351369381,1.7569535057191388e-05,3.680996946059167e-05,4.7911839465086815e-05
0.003239969741553068,0.00011310043901175959,0.00022333401328523907,0.0026038606418296696,1.2470127526285068e-05,5.19827775133308e-05,8.246054298069794e-05
0.00570660695899278,0.00020062578380020569,0.00038209431049835986,0.004436571775004268,1.4125349835012458e-05,6.3371418054885e-05,0.0001358226493903203
0.009698345037177205,0.000344531390001066,0.000631529263127959,0.007288936451077461,6.347118600388058e-05,5.993119346385356e-05,0.00021377452110755258
0.015782134188339115,0.0005716179838782409,0.000992581997288653,0.011443682489916682,0.00015994304765627022,2.9862257979402783e-05,0.0003203505848068744
0.024322725497186184,0.0009020353965752293,0.0014652352122357115,0.01695741029456258,0.00031537609753286234,5.950552728791081e-05,0.0004544166348932777
0.034906243719160554,0.001315475758019602,0.002014403087705432,0.023256212901324035,0.0005232949423225364,0.00018293934846042248,0.0006047693020082078
0.045256507620215415,0.0016977533549652436,0.0025240676229441304,0.028521984089165925,0.0007262061162327882,0.0002918628411862301,0.0007449335804267321
0.0496886919811368,0.001847471032961039,0.002634525725370622,0.02909718932583928,0.0007842228134541074,0.00023323723456996958,0.0008294843335170299
0.03792987022548914,0.0013735421127057635,0.001963252451205335,0.019927159305661916,0.000524131478232448,0.0001564942735421937,0.0007964859850471839
